year,month,day,hour,latitude,longitude,depth,mag
2018,9,27,1,33.116,-116.2665,9.55,2.56
2018,9,27,0,35.7296667,-121.0846667,7.11,2.89
2018,9,26,21,34.0505,-97.4332,6.384,3
2018,9,26,20,43.7883,-105.2729,0,3.4
2018,9,26,8,41.2765,-116.8851,5.6,2.8
2018,9,26,7,36.1555,-98.2908,5.106,3
2018,9,26,3,35.6888,-97.3042,5.669,2.5
2018,9,25,18,43.6041,-105.4453,0,3.4
2018,9,25,13,45.6766667,-122.8965,22.71,2.56
2018,9,25,8,33.4951667,-116.802,2.72,2.73
2018,9,24,19,35.9609,-97.2376,6.085,3.1
2018,9,24,12,36.6026667,-121.2076667,6.24,2.73
2018,9,24,3,46.8951,-112.4767,11.05,2.7
2018,9,23,22,43.7368,-105.3055,0,3.4
2018,9,23,22,35.9902,-96.8145,3.167,2.9
2018,9,23,19,44.4542,-105.4756,0,3
2018,9,23,3,35.5751667,-92.6833333,8.66,2.51
2018,9,23,1,42.2928,-107.5828,9.64,3.1
2018,9,22,17,36.5303,-98.9667,6.23,2.5
2018,9,22,12,36.2777,-98.2313,5.701,2.5
2018,9,22,11,38.0886667,-121.9416667,22.67,2.71
2018,9,22,10,28.867,-98.1948,5,2.5
2018,9,22,8,37.4776667,-118.7895,2.2,2.85
2018,9,21,20,43.4754,-105.2314,0,3.3
2018,9,21,13,42.4308333,-111.5076667,11.02,3.21
2018,9,21,13,36.4742,-97.7361,5,2.6
2018,9,21,8,42.4528333,-111.5408333,8.11,2.6
2018,9,20,12,34.1016667,-117.31,15.89,3.43
2018,9,20,11,37.2375,-104.5215,5.54,2.5
2018,9,19,19,36.3722,-97.7095,5.588,2.5
2018,9,19,17,38.2985,-121.875,19.81,2.62
2018,9,19,16,34.0115,-118.9523333,15.65,2.92
2018,9,19,7,40.5963333,-124.07,18.06,2.67
2018,9,19,5,35.8444,-97.3384,4.48,3
2018,9,18,21,36.8861,-104.8365,6.32,2.5
2018,9,18,9,42.5869,-111.1523,6.23,3.3
2018,9,18,4,32.2646667,-115.2536667,19.84,2.57
2018,9,18,1,32.3201667,-115.2208333,25.99,3.08
2018,9,18,1,32.3281667,-115.2208333,26.54,2.64
2018,9,18,0,32.4066667,-115.251,3.44,2.81
2018,9,17,20,36.4551,-98.7674,8.163,2.7
2018,9,17,20,43.894,-105.3789,0,3.1
2018,9,17,16,44.0152,-105.3225,0,3.1
2018,9,17,14,37.6556667,-118.9411667,1.63,2.69
2018,9,17,0,45.1358333,-122.9721667,40.89,2.83
2018,9,16,22,40.3393333,-124.6913333,25.38,2.61
2018,9,16,22,31.3166,-103.0986,2.03,2.6
2018,9,16,22,36.8373333,-121.571,6.2,2.5
2018,9,16,20,40.5085,-124.8653333,23.56,2.62
2018,9,16,17,35.9606,-97.2316,5.466,2.6
2018,9,16,16,32.8688,-100.9073,5,2.8
2018,9,16,15,44.4278,-114.1085,5,2.8
2018,9,16,14,40.458,-124.5231667,22.7,2.56
2018,9,16,11,33.2591667,-116.7586667,13.52,2.98
2018,9,16,9,35.4905,-118.3456667,3.14,2.7
2018,9,16,1,36.4602,-96.8763,3.443,2.6
2018,9,16,1,36.1365,-97.6177,5,2.8
2018,9,15,19,43.5495,-105.3593,0,3.3
2018,9,15,13,37.3761667,-112.3953333,9.13,2.51
2018,9,14,23,33.1896667,-115.9488333,4.15,2.78
2018,9,14,22,45.005,-106.9227,0,2.5
2018,9,14,20,43.8029,-105.1944,0,2.9
2018,9,14,16,43.8776,-105.5534,0,3.3
2018,9,14,8,31.34,-103.4947,2.31,2.6
2018,9,14,3,36.4748333,-89.467,4.71,2.64
2018,9,14,1,36.475,-89.4661667,4.82,2.74
2018,9,13,21,36.9856,-97.4963,5.913,2.6
2018,9,13,21,36.9778,-97.4956,5.015,2.7
2018,9,13,21,36.2195,-98.9256,3.219,2.5
2018,9,13,20,44.9825,-106.7733,0,3
2018,9,13,19,36.5665,-121.159,2.89,2.87
2018,9,13,18,36.8261,-98.4513,3.145,3
2018,9,13,17,38.3391,-96.8383,5,2.6
2018,9,13,7,37.3406,-97.9786,5.3,3.1
2018,9,13,6,33.9026667,-82.2683333,0.08,2.57
2018,9,13,0,32.4663333,-115.565,15.32,2.84
2018,9,12,23,35.9611,-97.236,5.766,2.6
2018,9,12,20,33.4896667,-116.8025,2.83,2.53
2018,9,12,15,31.5816667,-114.401,8.65,3.45
2018,9,12,5,38.7653333,-112.7343333,-0.02,3.82
2018,9,12,4,31.8921,-94.3874,5,2.5
2018,9,11,23,31.5213333,-115.5978333,10.84,2.71
2018,9,11,16,36.2153,-97.5688,6.708,3.3
2018,9,11,16,36.2159,-97.5703,6.105,2.6
2018,9,11,13,44.8608333,-110.4288333,10.65,2.85
2018,9,10,20,43.5514,-105.1563,0,3.3
2018,9,10,20,43.7001,-105.3725,0,3.5
2018,9,10,18,36.8472,-97.6957,7.6,2.5
2018,9,10,7,35.0709,-95.6841,2.44,2.7
2018,9,9,23,35.0811,-95.6826,4.061,2.6
2018,9,9,13,31.2365,-115.6705,12.13,3.43
2018,9,9,12,48.275,-123.0391667,23.09,3.26
2018,9,9,7,35.0798,-95.6806,3.663,2.5
2018,9,9,3,34.8306667,-85.2381667,9.95,2.64
2018,9,9,2,36.4929,-98.7245,7.635,2.9
2018,9,9,1,36.4902,-98.723,6.798,2.6
2018,9,9,1,36.489,-98.7253,7.712,3.5
2018,9,9,0,35.0948,-95.6939,0.106,2.6
2018,9,8,23,36.5018333,-89.5551667,9.39,2.68
2018,9,8,21,42.6355,-111.4818,10.21,3
2018,9,8,21,36.7043,-97.6659,5.913,2.7
2018,9,8,20,37.8046667,-122.2133333,5.18,2.82
