latitude,longitude,depth,gap,dmin,rms,horizontalError,depthError,magError,magNst
16.7233,145.986,44.61,101,3.297,0.72,12.9,9.5,0.124,20
47.7701,146.7317,411.31,106,2.818,1.07,9.9,5.4,0.046,138
47.8334,146.6972,433,24,2.813,0.82,8.7,1.9,0.056,31
29.964,95.158,10,82,3.512,0.86,10,1.9,0.107,25
52.1974,158.2448,70.08,57,0.863,0.79,8,3.9,0.083,14
33.6719,135.1475,28.2,39,1.061,0.69,5.8,3.4,0.05,39
37.8813,135.312,349.12,31,2.333,0.91,9.1,9.4,0.064,65
36.6225,71.0181,212.67,110,0.614,0.44,8.6,6,0.156,11
24.2029,123.5515,57.24,90,0.558,0.66,7.8,7.4,0.109,25
18.8823,145.1371,456.76,149,28.179,0.4,15.8,10.1,0.121,19
21.5037,120.4993,10,129,1.414,0.59,8,1.9,0.152,12
18.1854,145.4557,407.81,154,4.604,0.48,14.1,10.8,0.131,16
30.2891,87.4647,10,63,3.23,0.93,7.6,1.7,0.052,119
43.8269,147.1498,59.39,139,3.302,0.62,13,8.7,0.049,125
27.7933,102.2196,24.3,20,6.62,1.21,7.4,4.3,0.036,247
30.3789,87.6483,10,52,2.52,0.95,8.1,1.8,0.053,108
35.5736,87.8934,10,144,7.647,0.96,12.4,1.9,0.11,23
23.7325,121.4608,10,139,0.37,0.64,2,1.9,0.162,11
42.2963,141.0014,126.86,79,1.506,0.82,5.9,6.1,0.061,79
31.7203,140.595,108.42,78,1.54,0.85,8.2,7.3,0.104,28
12.1907,143.7081,35,115,1.792,0.62,4.3,2,0.086,40
24.2627,123.4067,44.58,92,0.414,0.7,6.6,5.3,0.079,50
37.3956,141.6489,41.84,135,0.829,0.78,6.4,3.5,0.074,57
39.4323,75.1483,19.53,60,2.084,0.93,6,4.3,0.055,32
18.0687,120.4758,35,125,5.207,0.94,11.8,2,0.141,15
24.1069,123.6739,35,95,0.703,1.06,6.8,1.9,0.068,67
28.15,103.5462,10,78,5.614,1.11,10,1.9,0.124,19
12.2614,144.9798,10,116,1.324,0.21,8.9,1.9,0.183,9
34.0313,77.9427,10,140,3.908,0.61,8.4,2,0.521,4
32.0275,140.8996,49.66,127,1.42,0.52,10.2,5,0.051,120
34.3492,78.1903,10,135,4.147,0.63,8.7,1.9,0.15,16
34.2342,78.1243,10,42,4.078,0.77,6.6,1.7,0.083,14
36.4974,141.2367,46.56,143,1.414,1.46,7.7,7,0.086,40
48.3513,154.6662,35,138,5.137,0.67,10.4,2,0.065,68
34.2929,78.0838,10,117,4.052,0.74,7.8,1.9,0.129,18
46.7469,150.1566,180.04,112,5.935,0.8,13.8,7.9,0.107,25
13.8991,144.8795,131.45,53,0.308,1,10,4.3,0.047,141
31.6133,140.2515,94,26,1.542,0.98,6.2,1.8,0.056,31
19.517,146.8573,130.7,209,6.195,0.43,9.5,15.6,0.129,16
36.9038,141.6538,35,146,1.184,0.97,6.9,2,0.119,37
37.1874,142.3293,8.74,152,1.4,0.68,5.1,5.9,0.181,9
11.3491,140.0834,35,87,5.176,0.79,12.1,2,0.08,49
36.4053,139.5086,132.84,131,1.06,0.61,7.2,7.8,0.12,20
45.1423,99.1565,10,45,5.677,0.68,9.3,1.9,0.068,64
29.7245,130.6764,44.5,128,3.394,0.66,8.5,7.9,0.067,68
27.9012,103.4946,10,164,5.758,0.53,15.1,2,0.169,10
12.946,144.299,78.23,72,0.846,0.43,11.7,9.6,0.118,20
34.3854,135.8527,68.08,72,1.364,0.89,4.8,8.9,0.12,20
40.1961,142.3206,53.57,120,1.126,0.72,6.4,6,0.086,13
16.4909,145.4935,175.21,102,2.947,0.77,16.6,10.4,0.091,38
18.3661,120.8834,10,106,4.915,0.86,8.7,1.9,0.059,86
19.0858,95.6347,10,68,2.129,0.55,7.2,1.9,0.047,145
41.7638,133.2274,474.8,46,2.598,0.99,9,7.1,0.083,41
18.1864,147.3365,10,135,19.477,0.56,12,1.9,0.128,18
36.9011,141.2901,9.7,94,1.045,0.59,4.7,3,0.089,12
24.6818,95.1058,120.42,65,0.861,1.08,7.2,6.3,0.105,29
57.7307,145.7058,14.84,95,3.228,0.52,7.5,4.9,0.124,19
32.9338,137.9083,333.54,101,1.611,0.81,6.2,8.8,0.105,24
23.7,142.9989,10,104,3.46,0.66,8.4,1.8,0.062,81
17.4064,147.8812,8,19,4.778,0.75,7.4,1.7,0.053,34
31.1987,130.6371,117.01,101,1.931,0.55,8.6,8.3,0.128,18
36.2681,71.1511,103.35,80,0.972,0.65,7.8,7.5,0.176,9
16.4873,145.1536,563.26,144,33.689,0.2,12.5,13.7,0.188,11
44.5814,145.595,10,134,2.202,0.78,8.8,1.9,0.051,118
44.4486,145.5656,10,54,2.16,0.72,5.6,1.8,0.095,36
44.4943,145.4594,10,54,2.091,0.99,4.5,1.7,0.05,39
38.3158,141.785,40,62,0.903,0.86,6.5,1.9,0.05,38
18.4392,145.2635,417.71,70,4.837,0.76,9.1,6,0.036,225
44.7385,141.1848,271.6,80,1.183,0.53,10.7,10.4,0.104,25
32.1296,138.6944,26.06,104,1.363,0.98,7.5,6.8,0.133,16
18.9902,145.7184,175.75,121,5.432,0.71,10.7,8.9,0.087,38
47.233,152.5574,86.65,174,6.743,0.22,14.6,10.6,0.155,12
37.339,142.2702,23.37,136,1.289,0.77,6.9,6.2,0.157,12
40.9764,78.7203,10,76,0.436,1.2,3.9,2,0.258,4
40.9683,78.755,10,61,0.419,0.9,5.6,1.8,0.076,54
23.9912,122.6791,31,36,0.562,0.94,4,1.8,0.052,35
37.3256,72.5009,10,70,0.699,1.13,2.6,1.9,0.09,37
38.2873,141.9099,34.95,115,0.977,0.82,5.8,3.8,0.073,18
24.1153,122.6027,30,36,0.511,0.86,6.2,1.8,0.048,41
36.693,71.3909,171.67,70,0.782,0.4,3.9,5.5,0.106,25
44.2018,82.5945,10,41,2.6,0.66,6.8,1.8,0.04,198
36.5042,70.5787,204.94,53,0.62,1.04,3.8,6.5,0.117,21
30.4664,87.7783,13.83,41,2.637,0.94,7.7,4.2,0.06,87
37.8031,143.852,10,153,2.425,0.6,9.8,1.9,0.172,10
30.2176,87.6309,11.42,92,2.362,1.05,10.7,3.7,0.171,16
38.4779,70.5953,10,55,0.565,0.94,3.6,1.9,0.146,14
37.5457,141.4753,43.05,117,0.632,1.32,6.5,5.5,0.029,378
